City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Aguas Vermelhas,-15.7472,-41.46,56.28,98,21,2.39,BR,2022-07-20 05:34:22,few clouds
1,Adrar,20.5022,-10.0711,85.6,17,15,5.39,MR,2022-07-20 05:34:23,few clouds
2,Albany,42.6001,-73.9662,72.54,87,51,4.88,US,2022-07-20 05:32:08,broken clouds
3,Mataura,-46.1927,168.8643,43.48,84,97,2.39,NZ,2022-07-20 05:34:23,overcast clouds
4,Tiksi,71.6872,128.8694,34.14,95,100,13.06,RU,2022-07-20 05:34:24,overcast clouds
5,Kupang,-10.1667,123.5833,83.32,51,51,1.9,ID,2022-07-20 05:34:24,broken clouds
6,Osypenko,46.9136,36.8253,76.48,33,3,4.12,UA,2022-07-20 05:34:25,clear sky
7,Pisco,-13.7,-76.2167,60.85,88,100,4.61,PE,2022-07-20 05:34:25,mist
8,Bonavista,48.6499,-53.1147,60.39,99,100,16.58,CA,2022-07-20 05:34:26,light rain
9,Hobart,-42.8794,147.3294,49.26,67,20,5.75,AU,2022-07-20 05:34:26,few clouds
10,Puerto Ayora,-0.7393,-90.3518,67.55,99,51,7.0,EC,2022-07-20 05:34:26,broken clouds
11,Tecpan,14.7623,-90.9947,56.89,98,98,5.28,GT,2022-07-20 05:34:27,overcast clouds
12,Ca Mau,9.1769,105.15,83.05,78,100,9.06,VN,2022-07-20 05:34:27,heavy intensity rain
13,Ushuaia,-54.8,-68.3,37.06,87,75,13.8,AR,2022-07-20 05:34:28,broken clouds
14,Coquimbo,-29.9533,-71.3436,51.53,100,100,2.3,CL,2022-07-20 05:29:38,mist
15,Thompson,55.7435,-97.8558,69.96,68,75,0.0,CA,2022-07-20 05:33:25,broken clouds
16,Chuy,-33.6971,-53.4616,44.35,91,0,6.24,UY,2022-07-20 05:34:28,clear sky
17,Kruisfontein,-34.0033,24.7314,50.88,93,100,5.39,ZA,2022-07-20 05:34:29,moderate rain
18,Bengkulu,-3.8004,102.2655,84.81,67,78,8.77,ID,2022-07-20 05:34:29,broken clouds
19,Surt,31.2089,16.5887,78.62,67,0,4.09,LY,2022-07-20 05:34:29,clear sky
20,Tasiilaq,65.6145,-37.6368,37.56,92,87,6.62,GL,2022-07-20 05:34:30,overcast clouds
21,Tigil,57.8,158.6667,68.16,62,73,13.15,RU,2022-07-20 05:34:30,broken clouds
22,Rikitea,-23.1203,-134.9692,74.08,77,4,7.18,PF,2022-07-20 05:34:30,clear sky
23,Jamestown,42.097,-79.2353,74.79,86,0,0.0,US,2022-07-20 05:30:33,clear sky
24,Kapaa,22.0752,-159.319,82.38,83,40,17.27,US,2022-07-20 05:30:24,scattered clouds
25,Lomovka,53.9194,58.3672,65.08,62,65,12.1,RU,2022-07-20 05:34:31,broken clouds
26,Diofior,14.1833,-16.6667,80.33,78,81,15.82,SN,2022-07-20 05:34:31,broken clouds
27,Carnarvon,-24.8667,113.6333,76.87,46,61,15.59,AU,2022-07-20 05:34:32,broken clouds
28,Jumla,29.2747,82.1838,67.12,89,99,1.81,NP,2022-07-20 05:34:32,overcast clouds
29,Caravelas,-17.7125,-39.2481,68.4,93,10,1.99,BR,2022-07-20 05:31:02,clear sky
30,Mar Del Plata,-38.0023,-57.5575,45.09,82,0,10.36,AR,2022-07-20 05:29:36,clear sky
31,Mananara,-16.1667,49.7667,69.66,88,28,13.51,MG,2022-07-20 05:34:33,moderate rain
32,Balabac,7.9868,117.0645,85.75,68,7,7.52,PH,2022-07-20 05:34:34,clear sky
33,Avarua,-21.2078,-159.775,73.45,73,75,9.22,CK,2022-07-20 05:34:34,broken clouds
34,Los Llanos De Aridane,28.6585,-17.9182,65.95,83,0,13.8,ES,2022-07-20 05:34:34,clear sky
35,Khatanga,71.9667,102.5,54.3,40,86,21.07,RU,2022-07-20 05:34:35,overcast clouds
36,Klaksvik,62.2266,-6.589,52.72,96,91,9.46,FO,2022-07-20 05:34:35,overcast clouds
37,Chokurdakh,70.6333,147.9167,51.53,58,95,12.15,RU,2022-07-20 05:34:36,overcast clouds
38,Ulaangom,49.9811,92.0667,69.8,34,62,8.63,MN,2022-07-20 05:34:36,broken clouds
