City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Makasar,-5.14,119.4221,87.85,62,20,4.61,ID,2022-08-01 05:36:49,few clouds
1,Hofn,64.2539,-15.2082,48.22,66,27,11.63,IS,2022-08-01 05:36:49,scattered clouds
2,Coihaique,-45.5752,-72.0662,35.55,80,0,5.75,CL,2022-08-01 05:33:10,clear sky
3,Rikitea,-23.1203,-134.9692,72.59,74,99,26.6,PF,2022-08-01 05:36:27,light rain
4,Mar Del Plata,-38.0023,-57.5575,50.09,90,68,2.3,AR,2022-08-01 05:36:50,fog
5,Hilo,19.7297,-155.09,74.93,86,75,10.36,US,2022-08-01 05:36:50,light rain
6,Yoichi,43.2039,140.7703,73.36,96,100,4.09,JP,2022-08-01 05:36:50,heavy intensity rain
7,Meadow Lake,34.8014,-106.5436,77.11,42,94,3.91,US,2022-08-01 05:36:51,overcast clouds
8,Juxtlahuaca,17.4294,-99.1467,68.09,94,92,3.62,MX,2022-08-01 05:36:51,light rain
9,Jamestown,42.097,-79.2353,69.39,70,0,8.05,US,2022-08-01 05:36:25,clear sky
10,Hasaki,35.7333,140.8333,93.6,74,87,12.01,JP,2022-08-01 05:36:52,overcast clouds
11,Qaanaaq,77.484,-69.3632,43.39,67,90,7.25,GL,2022-08-01 05:36:52,overcast clouds
12,Sarahan,31.5167,77.8,69.3,82,99,6.98,IN,2022-08-01 05:36:52,overcast clouds
13,Carnarvon,-24.8667,113.6333,67.5,91,100,19.71,AU,2022-08-01 05:36:53,overcast clouds
14,Vardo,70.3705,31.1107,51.78,100,100,4.61,NO,2022-08-01 05:36:53,fog
15,Nantucket,41.2835,-70.0995,75.99,93,0,5.75,US,2022-08-01 05:36:53,clear sky
16,Chuy,-33.6971,-53.4616,46.15,90,19,2.33,UY,2022-08-01 05:36:54,few clouds
17,Punta Arenas,-53.15,-70.9167,41.11,75,75,16.11,CL,2022-08-01 05:34:15,broken clouds
18,Emba,48.8264,58.1442,82.11,32,99,3.91,KZ,2022-08-01 05:36:54,overcast clouds
19,Poum,-20.2333,164.0167,74.68,74,83,11.88,NC,2022-08-01 05:36:55,broken clouds
20,Arinos,-15.9169,-46.1056,65.19,43,0,2.15,BR,2022-08-01 05:36:55,clear sky
21,Treinta Y Tres,-33.2333,-54.3833,43.75,90,1,2.46,UY,2022-08-01 05:36:56,clear sky
22,Srandakan,-7.9386,110.2506,83.44,66,28,9.22,ID,2022-08-01 05:36:56,scattered clouds
23,Port Lincoln,-34.7333,135.8667,57.94,71,17,19.28,AU,2022-08-01 05:36:27,few clouds
24,Lavrentiya,65.5833,-171.0,47.25,78,59,5.55,RU,2022-08-01 05:36:56,broken clouds
25,Vila Velha,-20.3297,-40.2925,69.94,85,75,2.3,BR,2022-08-01 05:36:57,broken clouds
26,Ushuaia,-54.8,-68.3,37.06,93,20,6.91,AR,2022-08-01 05:32:25,few clouds
27,Cape Town,-33.9258,18.4232,53.38,77,0,8.01,ZA,2022-08-01 05:35:31,clear sky
28,Zeya,53.75,127.2667,83.46,45,48,5.68,RU,2022-08-01 05:36:58,scattered clouds
29,Busselton,-33.65,115.3333,59.63,79,72,28.86,AU,2022-08-01 05:36:29,light rain
30,Bandundu,-3.3167,17.3667,75.11,61,84,4.97,CD,2022-08-01 05:36:58,broken clouds
31,Yellowknife,62.456,-114.3525,55.92,67,20,4.61,CA,2022-08-01 05:36:59,few clouds
32,Glendive,47.1053,-104.7125,74.82,56,0,8.05,US,2022-08-01 05:36:59,clear sky
33,Tuktoyaktuk,69.4541,-133.0374,57.2,77,75,3.44,CA,2022-08-01 05:36:32,broken clouds
34,Kaeo,-35.1,173.7833,51.93,76,20,3.24,NZ,2022-08-01 05:37:00,few clouds
35,Esperance,-33.8667,121.9,60.39,70,85,22.55,AU,2022-08-01 05:37:00,moderate rain
36,Trairi,-3.2778,-39.2689,74.62,90,4,10.2,BR,2022-08-01 05:35:28,clear sky
37,Fare,-16.7,-151.0167,78.1,72,31,26.62,PF,2022-08-01 05:37:01,scattered clouds
38,San Bartolome,27.9248,-15.5733,63.07,88,20,24.16,ES,2022-08-01 05:37:01,few clouds
39,Xining,36.6167,101.7667,77.81,39,12,4.47,CN,2022-08-01 05:37:01,few clouds
40,Kavaratti,10.5669,72.642,77.86,86,100,24.96,IN,2022-08-01 05:32:25,moderate rain
41,Vaini,-21.2,-175.2,77.16,100,40,4.61,TO,2022-08-01 05:36:38,scattered clouds
42,Souillac,-20.5167,57.5167,71.98,83,75,18.41,MU,2022-08-01 05:37:02,light rain
43,Bolshaya Glushitsa,50.2406,43.5908,76.86,53,74,15.1,RU,2022-08-01 05:37:02,broken clouds
44,Nikolskoye,59.7035,30.7861,67.78,59,100,5.7,RU,2022-08-01 05:37:03,overcast clouds
45,Bandarbeyla,9.4942,50.8122,84.49,51,27,28.97,SO,2022-08-01 05:38:03,scattered clouds
46,Atuona,-9.8,-139.0333,77.38,74,13,12.64,PF,2022-08-01 05:38:03,few clouds
47,Ouango,4.3133,22.5552,70.84,88,100,1.68,CF,2022-08-01 05:38:04,overcast clouds
48,Cabo San Lucas,22.8909,-109.9124,84.51,81,32,4.0,MX,2022-08-01 05:34:56,scattered clouds
49,Saint George,37.1041,-113.5841,83.62,59,40,5.75,US,2022-08-01 05:36:47,scattered clouds
